Time,Hero0,Hero0Posx,Hero0Posy,Hero1,Hero1Posx,Hero1Posy,Hero2,Hero2Posx,Hero2Posy,Hero3,Hero3Posx,Hero3Posy,Hero4,Hero4Posx,Hero4Posy,Hero5,Hero5Posx,Hero5Posy,Hero6,Hero6Posx,Hero6Posy,Hero7,Hero7Posx,Hero7Posy,Hero8,Hero8Posx,Hero8Posy,Hero9,Hero9Posx,Hero9Posy
965, DT_DOTA_Unit_Hero_Sniper,3098.0,4902.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,4960.0,8864.0,DT_DOTA_Unit_Hero_Earthshaker,4971.0,9767.0,DT_DOTA_Unit_Hero_Juggernaut,5848.0,7485.0,DT_DOTA_Unit_Hero_WitchDoctor,12446.0,13536.0,DT_DOTA_Unit_Hero_Broodmother,5669.0,6661.0,DT_DOTA_Unit_Hero_Slardar,11583.0,11569.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
966, DT_DOTA_Unit_Hero_Sniper,2897.0,4541.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5327.0,8649.0,DT_DOTA_Unit_Hero_Earthshaker,5076.0,9444.0,DT_DOTA_Unit_Hero_Juggernaut,5848.0,7485.0,DT_DOTA_Unit_Hero_WitchDoctor,12257.0,13165.0,DT_DOTA_Unit_Hero_Broodmother,5812.0,6485.0,DT_DOTA_Unit_Hero_Slardar,12046.0,11929.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
968, DT_DOTA_Unit_Hero_Sniper,2562.0,4310.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5424.0,8185.0,DT_DOTA_Unit_Hero_Earthshaker,5208.0,9026.0,DT_DOTA_Unit_Hero_Juggernaut,5749.0,7388.0,DT_DOTA_Unit_Hero_WitchDoctor,12196.0,12791.0,DT_DOTA_Unit_Hero_Broodmother,6134.0,5993.0,DT_DOTA_Unit_Hero_Slardar,12448.0,12336.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
969, DT_DOTA_Unit_Hero_Sniper,2241.0,3864.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5460.0,7565.0,DT_DOTA_Unit_Hero_Earthshaker,5310.0,8455.0,DT_DOTA_Unit_Hero_Juggernaut,5508.0,7881.0,DT_DOTA_Unit_Hero_WitchDoctor,11798.0,12386.0,DT_DOTA_Unit_Hero_Broodmother,6642.0,5697.0,DT_DOTA_Unit_Hero_Slardar,12985.0,12875.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
971, DT_DOTA_Unit_Hero_Sniper,1672.0,3593.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5417.0,6954.0,DT_DOTA_Unit_Hero_Earthshaker,5271.0,7884.0,DT_DOTA_Unit_Hero_Juggernaut,5320.0,8418.0,DT_DOTA_Unit_Hero_WitchDoctor,11343.0,12072.0,DT_DOTA_Unit_Hero_Broodmother,6782.0,5326.0,DT_DOTA_Unit_Hero_Slardar,13436.0,13468.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
972, DT_DOTA_Unit_Hero_Sniper,1165.0,3210.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,4854.0,6669.0,DT_DOTA_Unit_Hero_Earthshaker,5411.0,7329.0,DT_DOTA_Unit_Hero_Juggernaut,5171.0,9081.0,DT_DOTA_Unit_Hero_WitchDoctor,10833.0,11773.0,DT_DOTA_Unit_Hero_Broodmother,6832.0,5283.0,DT_DOTA_Unit_Hero_Slardar,13912.0,14100.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
974, DT_DOTA_Unit_Hero_Sniper,864.0,2809.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,4297.0,6554.0,DT_DOTA_Unit_Hero_Earthshaker,5254.0,6864.0,DT_DOTA_Unit_Hero_Juggernaut,4934.0,9635.0,DT_DOTA_Unit_Hero_WitchDoctor,10328.0,11803.0,DT_DOTA_Unit_Hero_Broodmother,7072.0,5440.0,DT_DOTA_Unit_Hero_Slardar,13934.0,14183.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
975, DT_DOTA_Unit_Hero_Sniper,602.0,2412.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3793.0,6395.0,DT_DOTA_Unit_Hero_Earthshaker,4790.0,6667.0,DT_DOTA_Unit_Hero_Juggernaut,4739.0,10144.0,DT_DOTA_Unit_Hero_WitchDoctor,9848.0,11931.0,DT_DOTA_Unit_Hero_Broodmother,7278.0,5536.0,DT_DOTA_Unit_Hero_Slardar,13942.0,14338.0,DT_DOTA_Unit_Hero_VengefulSpirit,3507.0,5551.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
977, DT_DOTA_Unit_Hero_Sniper,375.0,2046.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3294.0,6364.0,DT_DOTA_Unit_Hero_Earthshaker,4338.0,6577.0,DT_DOTA_Unit_Hero_Juggernaut,4640.0,10582.0,DT_DOTA_Unit_Hero_WitchDoctor,9414.0,12046.0,DT_DOTA_Unit_Hero_Broodmother,7659.0,5245.0,DT_DOTA_Unit_Hero_Slardar,13894.0,14287.0,DT_DOTA_Unit_Hero_VengefulSpirit,14208.0,14600.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
978, DT_DOTA_Unit_Hero_Sniper,399.0,1975.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,2752.0,6194.0,DT_DOTA_Unit_Hero_Earthshaker,3914.0,6706.0,DT_DOTA_Unit_Hero_Juggernaut,4640.0,11103.0,DT_DOTA_Unit_Hero_WitchDoctor,8903.0,12124.0,DT_DOTA_Unit_Hero_Broodmother,8105.0,4708.0,DT_DOTA_Unit_Hero_Slardar,13821.0,14238.0,DT_DOTA_Unit_Hero_VengefulSpirit,13991.0,14264.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
980, DT_DOTA_Unit_Hero_Sniper,399.0,1975.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3058.0,6236.0,DT_DOTA_Unit_Hero_Earthshaker,3798.0,6636.0,DT_DOTA_Unit_Hero_Juggernaut,4640.0,11689.0,DT_DOTA_Unit_Hero_WitchDoctor,8363.0,12080.0,DT_DOTA_Unit_Hero_Broodmother,8638.0,4501.0,DT_DOTA_Unit_Hero_Slardar,13813.0,14269.0,DT_DOTA_Unit_Hero_VengefulSpirit,13792.0,13793.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
981, DT_DOTA_Unit_Hero_Sniper,362.0,1919.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3177.0,6291.0,DT_DOTA_Unit_Hero_Earthshaker,3798.0,6901.0,DT_DOTA_Unit_Hero_Juggernaut,4310.0,11937.0,DT_DOTA_Unit_Hero_WitchDoctor,7962.0,12318.0,DT_DOTA_Unit_Hero_Broodmother,8666.0,4486.0,DT_DOTA_Unit_Hero_Slardar,13816.0,14346.0,DT_DOTA_Unit_Hero_VengefulSpirit,13578.0,13424.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
982, DT_DOTA_Unit_Hero_Sniper,503.0,1989.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3558.0,6471.0,DT_DOTA_Unit_Hero_Earthshaker,3617.0,7305.0,DT_DOTA_Unit_Hero_Juggernaut,3761.0,11934.0,DT_DOTA_Unit_Hero_WitchDoctor,7511.0,12454.0,DT_DOTA_Unit_Hero_Broodmother,8845.0,4441.0,DT_DOTA_Unit_Hero_Slardar,12833.0,13594.0,DT_DOTA_Unit_Hero_VengefulSpirit,13536.0,12904.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
984, DT_DOTA_Unit_Hero_Sniper,838.0,2537.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3713.0,6543.0,DT_DOTA_Unit_Hero_Earthshaker,3609.0,7319.0,DT_DOTA_Unit_Hero_Juggernaut,3246.0,11975.0,DT_DOTA_Unit_Hero_WitchDoctor,7016.0,12494.0,DT_DOTA_Unit_Hero_Broodmother,8923.0,4497.0,DT_DOTA_Unit_Hero_Slardar,12410.0,13510.0,DT_DOTA_Unit_Hero_VengefulSpirit,13302.0,12454.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
985, DT_DOTA_Unit_Hero_Sniper,1155.0,3197.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3879.0,6822.0,DT_DOTA_Unit_Hero_Earthshaker,3845.0,6941.0,DT_DOTA_Unit_Hero_Juggernaut,2781.0,11771.0,DT_DOTA_Unit_Hero_WitchDoctor,6474.0,12544.0,DT_DOTA_Unit_Hero_Broodmother,8923.0,4497.0,DT_DOTA_Unit_Hero_Slardar,12283.0,13049.0,DT_DOTA_Unit_Hero_VengefulSpirit,12808.0,12212.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
987, DT_DOTA_Unit_Hero_Sniper,1643.0,3755.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3879.0,6822.0,DT_DOTA_Unit_Hero_Earthshaker,3845.0,6941.0,DT_DOTA_Unit_Hero_Juggernaut,2762.0,11728.0,DT_DOTA_Unit_Hero_WitchDoctor,6129.0,12746.0,DT_DOTA_Unit_Hero_Broodmother,8893.0,4631.0,DT_DOTA_Unit_Hero_Slardar,12051.0,12618.0,DT_DOTA_Unit_Hero_VengefulSpirit,12328.0,11991.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
988, DT_DOTA_Unit_Hero_Sniper,2180.0,4285.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3879.0,6822.0,DT_DOTA_Unit_Hero_Earthshaker,3845.0,6941.0,DT_DOTA_Unit_Hero_Juggernaut,2680.0,11629.0,DT_DOTA_Unit_Hero_WitchDoctor,5733.0,13144.0,DT_DOTA_Unit_Hero_Broodmother,8846.0,4724.0,DT_DOTA_Unit_Hero_Slardar,11699.0,12123.0,DT_DOTA_Unit_Hero_VengefulSpirit,11785.0,11772.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
990, DT_DOTA_Unit_Hero_Sniper,2785.0,4753.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3665.0,6452.0,DT_DOTA_Unit_Hero_Earthshaker,3757.0,6670.0,DT_DOTA_Unit_Hero_Juggernaut,2717.0,11675.0,DT_DOTA_Unit_Hero_WitchDoctor,6124.0,13264.0,DT_DOTA_Unit_Hero_Broodmother,9047.0,4780.0,DT_DOTA_Unit_Hero_Slardar,11353.0,11660.0,DT_DOTA_Unit_Hero_VengefulSpirit,11147.0,11731.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
992, DT_DOTA_Unit_Hero_Sniper,3290.0,5169.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,3839.0,6363.0,DT_DOTA_Unit_Hero_Earthshaker,3781.0,6578.0,DT_DOTA_Unit_Hero_Juggernaut,2678.0,11712.0,DT_DOTA_Unit_Hero_WitchDoctor,6425.0,13687.0,DT_DOTA_Unit_Hero_Broodmother,9721.0,5036.0,DT_DOTA_Unit_Hero_Slardar,10927.0,11333.0,DT_DOTA_Unit_Hero_VengefulSpirit,10537.0,11765.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
993, DT_DOTA_Unit_Hero_Sniper,3899.0,5536.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,4511.0,6242.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,2659.0,11682.0,DT_DOTA_Unit_Hero_WitchDoctor,6404.0,13981.0,DT_DOTA_Unit_Hero_Broodmother,10100.0,5658.0,DT_DOTA_Unit_Hero_Slardar,10427.0,10996.0,DT_DOTA_Unit_Hero_VengefulSpirit,9876.0,11971.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
995, DT_DOTA_Unit_Hero_Sniper,4069.0,6130.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5108.0,6144.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,2628.0,11754.0,DT_DOTA_Unit_Hero_WitchDoctor,6941.0,14039.0,DT_DOTA_Unit_Hero_Broodmother,9898.0,5042.0,DT_DOTA_Unit_Hero_Slardar,10125.0,11398.0,DT_DOTA_Unit_Hero_VengefulSpirit,9374.0,12136.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
996, DT_DOTA_Unit_Hero_Sniper,4551.0,6376.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5476.0,6036.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,3057.0,12139.0,DT_DOTA_Unit_Hero_WitchDoctor,7044.0,14026.0,DT_DOTA_Unit_Hero_Broodmother,10225.0,4768.0,DT_DOTA_Unit_Hero_Slardar,9853.0,11793.0,DT_DOTA_Unit_Hero_VengefulSpirit,8923.0,12307.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
998, DT_DOTA_Unit_Hero_Sniper,4920.0,6631.0,DT_DOTA_Unit_Hero_Axe,3680.0,6037.0,DT_DOTA_Unit_Hero_Omniknight,5388.0,6249.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,3383.0,12525.0,DT_DOTA_Unit_Hero_WitchDoctor,7091.0,14021.0,DT_DOTA_Unit_Hero_Broodmother,10447.0,4849.0,DT_DOTA_Unit_Hero_Slardar,9465.0,11990.0,DT_DOTA_Unit_Hero_VengefulSpirit,8515.0,12464.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
999, DT_DOTA_Unit_Hero_Sniper,5313.0,6899.0,DT_DOTA_Unit_Hero_Axe,-128.0,1600.0,DT_DOTA_Unit_Hero_Omniknight,4862.0,6413.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,3704.0,12938.0,DT_DOTA_Unit_Hero_WitchDoctor,7198.0,14022.0,DT_DOTA_Unit_Hero_Broodmother,10487.0,4495.0,DT_DOTA_Unit_Hero_Slardar,9011.0,12140.0,DT_DOTA_Unit_Hero_VengefulSpirit,8209.0,12312.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
1001, DT_DOTA_Unit_Hero_Sniper,5743.0,7191.0,DT_DOTA_Unit_Hero_Axe,-128.0,1600.0,DT_DOTA_Unit_Hero_Omniknight,4275.0,6555.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,3969.0,12757.0,DT_DOTA_Unit_Hero_WitchDoctor,7422.0,14029.0,DT_DOTA_Unit_Hero_Broodmother,10538.0,4328.0,DT_DOTA_Unit_Hero_Slardar,8493.0,12063.0,DT_DOTA_Unit_Hero_VengefulSpirit,7819.0,11978.0,DT_DOTA_Unit_Hero_Nevermore,3626.0,6002.0,
1002, DT_DOTA_Unit_Hero_Sniper,6022.0,7456.0,DT_DOTA_Unit_Hero_Axe,4137.0,7019.0,DT_DOTA_Unit_Hero_Omniknight,3940.0,6707.0,DT_DOTA_Unit_Hero_Earthshaker,3860.0,6663.0,DT_DOTA_Unit_Hero_Juggernaut,3920.0,12707.0,DT_DOTA_Unit_Hero_WitchDoctor,7550.0,14214.0,DT_DOTA_Unit_Hero_Broodmother,10556.0,4299.0,DT_DOTA_Unit_Hero_Slardar,8158.0,11849.0,DT_DOTA_Unit_Hero_VengefulSpirit,7593.0,12053.0,DT_DOTA_Unit_Hero_Nevermore,14160.0,14392.0,
1003, DT_DOTA_Unit_Hero_Sniper,6370.0,7992.0,DT_DOTA_Unit_Hero_Axe,4334.0,7511.0,DT_DOTA_Unit_Hero_Omniknight,4151.0,7192.0,DT_DOTA_Unit_Hero_Earthshaker,4067.0,7020.0,DT_DOTA_Unit_Hero_Juggernaut,3985.0,12613.0,DT_DOTA_Unit_Hero_WitchDoctor,7472.0,14124.0,DT_DOTA_Unit_Hero_Broodmother,10813.0,4163.0,DT_DOTA_Unit_Hero_Slardar,7904.0,11626.0,DT_DOTA_Unit_Hero_VengefulSpirit,7701.0,11583.0,DT_DOTA_Unit_Hero_Nevermore,13809.0,14219.0,
1005, DT_DOTA_Unit_Hero_Sniper,6747.0,8518.0,DT_DOTA_Unit_Hero_Axe,4348.0,8018.0,DT_DOTA_Unit_Hero_Omniknight,4495.0,7623.0,DT_DOTA_Unit_Hero_Earthshaker,4357.0,7440.0,DT_DOTA_Unit_Hero_Juggernaut,3962.0,12614.0,DT_DOTA_Unit_Hero_WitchDoctor,7583.0,14292.0,DT_DOTA_Unit_Hero_Broodmother,10963.0,4194.0,DT_DOTA_Unit_Hero_Slardar,7807.0,11235.0,DT_DOTA_Unit_Hero_VengefulSpirit,7594.0,11120.0,DT_DOTA_Unit_Hero_Nevermore,13359.0,14010.0,
1006, DT_DOTA_Unit_Hero_Sniper,6987.0,9099.0,DT_DOTA_Unit_Hero_Axe,4155.0,8223.0,DT_DOTA_Unit_Hero_Omniknight,4637.0,8096.0,DT_DOTA_Unit_Hero_Earthshaker,4425.0,7596.0,DT_DOTA_Unit_Hero_Juggernaut,3799.0,12644.0,DT_DOTA_Unit_Hero_WitchDoctor,7708.0,14379.0,DT_DOTA_Unit_Hero_Broodmother,11205.0,4070.0,DT_DOTA_Unit_Hero_Slardar,7734.0,11540.0,DT_DOTA_Unit_Hero_VengefulSpirit,7736.0,10911.0,DT_DOTA_Unit_Hero_Nevermore,12917.0,13784.0,
1007, DT_DOTA_Unit_Hero_Sniper,6979.0,9724.0,DT_DOTA_Unit_Hero_Axe,4192.0,8295.0,DT_DOTA_Unit_Hero_Omniknight,4671.0,7871.0,DT_DOTA_Unit_Hero_Earthshaker,4425.0,7596.0,DT_DOTA_Unit_Hero_Juggernaut,3761.0,12670.0,DT_DOTA_Unit_Hero_WitchDoctor,7208.0,14429.0,DT_DOTA_Unit_Hero_Broodmother,11502.0,4059.0,DT_DOTA_Unit_Hero_Slardar,8121.0,11888.0,DT_DOTA_Unit_Hero_VengefulSpirit,7681.0,11247.0,DT_DOTA_Unit_Hero_Nevermore,12438.0,13532.0,
1009, DT_DOTA_Unit_Hero_Sniper,6894.0,10250.0,DT_DOTA_Unit_Hero_Axe,4128.0,8269.0,DT_DOTA_Unit_Hero_Omniknight,4514.0,7846.0,DT_DOTA_Unit_Hero_Earthshaker,4425.0,7596.0,DT_DOTA_Unit_Hero_Juggernaut,3670.0,13058.0,DT_DOTA_Unit_Hero_WitchDoctor,7195.0,14378.0,DT_DOTA_Unit_Hero_Broodmother,12053.0,4345.0,DT_DOTA_Unit_Hero_Slardar,7969.0,12021.0,DT_DOTA_Unit_Hero_VengefulSpirit,7940.0,11731.0,DT_DOTA_Unit_Hero_Nevermore,12276.0,13105.0,
1010, DT_DOTA_Unit_Hero_Sniper,6969.0,10241.0,DT_DOTA_Unit_Hero_Axe,4128.0,8269.0,DT_DOTA_Unit_Hero_Omniknight,4514.0,7846.0,DT_DOTA_Unit_Hero_Earthshaker,4425.0,7596.0,DT_DOTA_Unit_Hero_Juggernaut,3778.0,12955.0,DT_DOTA_Unit_Hero_WitchDoctor,6924.0,14378.0,DT_DOTA_Unit_Hero_Broodmother,12549.0,4442.0,DT_DOTA_Unit_Hero_Slardar,7502.0,12122.0,DT_DOTA_Unit_Hero_VengefulSpirit,7982.0,11783.0,DT_DOTA_Unit_Hero_Nevermore,12106.0,12677.0,
1012, DT_DOTA_Unit_Hero_Sniper,6924.0,9596.0,DT_DOTA_Unit_Hero_Axe,4128.0,8269.0,DT_DOTA_Unit_Hero_Omniknight,4572.0,7838.0,DT_DOTA_Unit_Hero_Earthshaker,4425.0,7596.0,DT_DOTA_Unit_Hero_Juggernaut,4350.0,13085.0,DT_DOTA_Unit_Hero_WitchDoctor,6974.0,14233.0,DT_DOTA_Unit_Hero_Broodmother,12898.0,4830.0,DT_DOTA_Unit_Hero_Slardar,7228.0,12268.0,DT_DOTA_Unit_Hero_VengefulSpirit,7617.0,12001.0,DT_DOTA_Unit_Hero_Nevermore,11769.0,12220.0,
1013, DT_DOTA_Unit_Hero_Sniper,6896.0,9122.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4572.0,7838.0,DT_DOTA_Unit_Hero_Earthshaker,4260.0,7641.0,DT_DOTA_Unit_Hero_Juggernaut,4796.0,13242.0,DT_DOTA_Unit_Hero_WitchDoctor,7081.0,14357.0,DT_DOTA_Unit_Hero_Broodmother,13110.0,5232.0,DT_DOTA_Unit_Hero_Slardar,7040.0,12496.0,DT_DOTA_Unit_Hero_VengefulSpirit,7518.0,12079.0,DT_DOTA_Unit_Hero_Nevermore,11557.0,11808.0,
1015, DT_DOTA_Unit_Hero_Sniper,6960.0,9061.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4609.0,8018.0,DT_DOTA_Unit_Hero_Earthshaker,4260.0,7641.0,DT_DOTA_Unit_Hero_Juggernaut,5115.0,13398.0,DT_DOTA_Unit_Hero_WitchDoctor,7483.0,14281.0,DT_DOTA_Unit_Hero_Broodmother,13282.0,5540.0,DT_DOTA_Unit_Hero_Slardar,6749.0,12571.0,DT_DOTA_Unit_Hero_VengefulSpirit,7155.0,12306.0,DT_DOTA_Unit_Hero_Nevermore,11236.0,11534.0,
1016, DT_DOTA_Unit_Hero_Sniper,6876.0,8795.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4753.0,8265.0,DT_DOTA_Unit_Hero_Earthshaker,4260.0,7641.0,DT_DOTA_Unit_Hero_Juggernaut,5093.0,13460.0,DT_DOTA_Unit_Hero_WitchDoctor,7385.0,14007.0,DT_DOTA_Unit_Hero_Broodmother,13378.0,5697.0,DT_DOTA_Unit_Hero_Slardar,6438.0,12620.0,DT_DOTA_Unit_Hero_VengefulSpirit,6677.0,12498.0,DT_DOTA_Unit_Hero_Nevermore,10828.0,11295.0,
1017, DT_DOTA_Unit_Hero_Sniper,6845.0,8701.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4626.0,8196.0,DT_DOTA_Unit_Hero_Earthshaker,4260.0,7641.0,DT_DOTA_Unit_Hero_Juggernaut,5234.0,13601.0,DT_DOTA_Unit_Hero_WitchDoctor,7193.0,13940.0,DT_DOTA_Unit_Hero_Broodmother,13485.0,5654.0,DT_DOTA_Unit_Hero_Slardar,6116.0,12561.0,DT_DOTA_Unit_Hero_VengefulSpirit,6453.0,12585.0,DT_DOTA_Unit_Hero_Nevermore,10430.0,11040.0,
1019, DT_DOTA_Unit_Hero_Sniper,6508.0,8220.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4623.0,8103.0,DT_DOTA_Unit_Hero_Earthshaker,4378.0,7933.0,DT_DOTA_Unit_Hero_Juggernaut,5222.0,13790.0,DT_DOTA_Unit_Hero_WitchDoctor,7064.0,13727.0,DT_DOTA_Unit_Hero_Broodmother,13458.0,5481.0,DT_DOTA_Unit_Hero_Slardar,5826.0,12881.0,DT_DOTA_Unit_Hero_VengefulSpirit,6090.0,12767.0,DT_DOTA_Unit_Hero_Nevermore,10039.0,10773.0,
1020, DT_DOTA_Unit_Hero_Sniper,6117.0,7730.0,DT_DOTA_Unit_Hero_Axe,4084.0,8298.0,DT_DOTA_Unit_Hero_Omniknight,4642.0,8056.0,DT_DOTA_Unit_Hero_Earthshaker,4377.0,7682.0,DT_DOTA_Unit_Hero_Juggernaut,5222.0,13790.0,DT_DOTA_Unit_Hero_WitchDoctor,6949.0,13827.0,DT_DOTA_Unit_Hero_Broodmother,13507.0,5329.0,DT_DOTA_Unit_Hero_Slardar,5486.0,13202.0,DT_DOTA_Unit_Hero_VengefulSpirit,5657.0,13023.0,DT_DOTA_Unit_Hero_Nevermore,9630.0,10491.0,
1021, DT_DOTA_Unit_Hero_Sniper,5807.0,7180.0,DT_DOTA_Unit_Hero_Axe,4059.0,8259.0,DT_DOTA_Unit_Hero_Omniknight,4579.0,8073.0,DT_DOTA_Unit_Hero_Earthshaker,4377.0,7682.0,DT_DOTA_Unit_Hero_Juggernaut,5220.0,13745.0,DT_DOTA_Unit_Hero_WitchDoctor,6613.0,13934.0,DT_DOTA_Unit_Hero_Broodmother,13384.0,5195.0,DT_DOTA_Unit_Hero_Slardar,5107.0,13637.0,DT_DOTA_Unit_Hero_VengefulSpirit,5452.0,13379.0,DT_DOTA_Unit_Hero_Nevermore,9251.0,10109.0,
1023, DT_DOTA_Unit_Hero_Sniper,6088.0,6701.0,DT_DOTA_Unit_Hero_Axe,4109.0,8289.0,DT_DOTA_Unit_Hero_Omniknight,4520.0,7823.0,DT_DOTA_Unit_Hero_Earthshaker,4377.0,7682.0,DT_DOTA_Unit_Hero_Juggernaut,5220.0,13805.0,DT_DOTA_Unit_Hero_WitchDoctor,6125.0,14005.0,DT_DOTA_Unit_Hero_Broodmother,13384.0,5195.0,DT_DOTA_Unit_Hero_Slardar,5154.0,13647.0,DT_DOTA_Unit_Hero_VengefulSpirit,5444.0,13436.0,DT_DOTA_Unit_Hero_Nevermore,8984.0,9808.0,
1024, DT_DOTA_Unit_Hero_Sniper,6579.0,6262.0,DT_DOTA_Unit_Hero_Axe,4087.0,8282.0,DT_DOTA_Unit_Hero_Omniknight,4552.0,7902.0,DT_DOTA_Unit_Hero_Earthshaker,4355.0,7615.0,DT_DOTA_Unit_Hero_Juggernaut,5220.0,13805.0,DT_DOTA_Unit_Hero_WitchDoctor,5854.0,13978.0,DT_DOTA_Unit_Hero_Broodmother,13584.0,4963.0,DT_DOTA_Unit_Hero_Slardar,5154.0,13647.0,DT_DOTA_Unit_Hero_VengefulSpirit,5444.0,13436.0,DT_DOTA_Unit_Hero_Nevermore,9043.0,9818.0,
